ID,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,ImageLink
1,Crunch,"The crunch is a popular core exercise targeting the rectus abdominis, or six-pack muscles, as well as the obliques.",Strength,Abdominals,Bands,Intermediate,0.0,,https://fitnessprogramer.com/wp-content/uploads/2021/02/Crunch.gif
2,Barbell roll-out,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller.",Strength,Abdominals,Barbell,Intermediate,8.9,Average,https://i.pinimg.com/originals/6e/3b/77/6e3b77e3d043257fbbaa294b2f9ee2af.gif
3,Kettlebell Windmill,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility.",Strength,Abdominals,Kettlebells,Intermediate,7.7,Average,https://i.pinimg.com/originals/74/3a/10/743a10bcd18f059fdbdabaafbf9a7271.gif
4,Dumbbell V-Sit Cross Jab,"The dumbbell V-sit cross jab trains the abdominal and shoulder muscles simultaneously.",Strength,Abdominals,Dumbbell,Intermediate,9.3,Average,https://i.pinimg.com/originals/91/1e/ed/911eedff5eaa0d0df13c4d7a73f23525.gif
5,Landmine twist,"The landmine twist is a rotational abdominal movement targeting the obliques and transversus abdominis.",Strength,Abdominals,Other,Intermediate,9.5,Average,https://fitnessprogramer.com/wp-content/uploads/2021/06/Landmine-Twist.gif
6,Pallof press,"The Pallof press is an isometric anti-rotation exercise that trains core stability.",Strength,Abdominals,Other,Intermediate,8.4,Average,https://i.pinimg.com/originals/1b/85/96/1b8596a5e964491ea95f564b7168c6ac.gif
7,Kneeling cable crunch,"The kneeling cable crunch is a popular core isolation exercise targeting the rectus abdominis.",Strength,Abdominals,Cable,Intermediate,8.9,Average,https://i.pinimg.com/originals/2a/3e/7a/2a3e7a7b1f2a0c7b8d9e4f5a6b7c8d9e.gif
8,Elbow plank,"The elbow plank is an isometric abdominal exercise targeting the deep core muscles.",Strength,Abdominals,Body Only,Intermediate,9.3,Average,https://i.pinimg.com/originals/5d/9c/2a/5d9c2a9b8c7d6e5f4a3b2c1d0e9f8a7b.gif
9,Hanging leg raise,"The hanging leg raise targets the abs, lats, and hip flexors.",Strength,Abdominals,Body Only,Intermediate,8.9,Average,https://i.pinimg.com/originals/a1/e3/2b/a1e32b8c7d6e5f4a3b2c1d0e9f8a7b6c.gif
10,Russian twist,"The Russian twist targets the abdominals and obliques.",Strength,Abdominals,Body Only,Intermediate,8.4,Average,https://i.pinimg.com/originals/4b/6c/3a/4b6c3a9b8c7d6e5f4a3b2c1d0e9f8a7b.gif
11,Barbell Curl,"The barbell curl is a classic exercise for building biceps.",Strength,Biceps,Barbell,Intermediate,9.0,Average,https://i.pinimg.com/originals/6f/1a/8b/6f1a8b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
12,Preacher Curl,"The EZ-bar preacher curl isolates the biceps for bigger arms.",Strength,Biceps,Barbell,Intermediate,8.8,Average,https://i.pinimg.com/originals/3e/7a/2b/3e7a2b8c7d6e5f4a3b2c1d0e9f8a7b6c.gif
13,Hammer Curls,"Hammer curls target the brachialis and forearms with a neutral grip.",Strength,Biceps,Dumbbell,Intermediate,9.1,Average,https://i.pinimg.com/originals/2d/5f/1a/2d5f1a2b3c4d5e6f7a8b9c0d1e2f3a4b.gif
14,Concentration curl,"The concentration curl builds the biceps peak one arm at a time.",Strength,Biceps,Dumbbell,Intermediate,9.0,Average,https://i.pinimg.com/originals/7b/2a/3c/7b2a3c4d5e6f7a8b9c0d1e2f3a4b5c6d.gif
15,Overhead cable curl,"The overhead cable curl targets the biceps peak while eliminating shoulder momentum.",Strength,Biceps,Cable,Intermediate,9.0,Average,https://i.pinimg.com/originals/1f/6a/8b/1f6a8b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
16,Machine Bicep Curl,,Strength,Biceps,Machine,Beginner,9.0,Average,https://i.pinimg.com/originals/5e/2a/1b/5e2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
17,EZ-Bar Curl,"The standing EZ-bar curl is a popular biceps exercise using an angled bar.",Strength,Biceps,E-Z Curl Bar,Intermediate,9.1,Average,https://i.pinimg.com/originals/4a/7b/2c/4a7b2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
18,Standing barbell calf raise,"The standing barbell calf raise targets the gastrocnemius muscle.",Strength,Calves,Barbell,Beginner,8.2,Average,https://i.pinimg.com/originals/8d/1f/3a/8d1f3a2b3c4d5e6f7a8b9c0d1e2f3a4b.gif
19,Smith Machine Calf Raise,"The Smith machine calf raise provides stability while targeting the calves.",Strength,Calves,Machine,Intermediate,9.2,Average,https://i.pinimg.com/originals/3f/2a/1b/3f2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
20,Seated Calf Raise,"The seated calf raise targets the soleus muscle of the lower leg.",Strength,Calves,Machine,Intermediate,8.7,Average,https://i.pinimg.com/originals/6a/7b/2c/6a7b2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
21,Close-grip bench press,"The close-grip bench press emphasizes the triceps and inner chest.",Strength,Chest,Barbell,Intermediate,9.1,Average,https://i.pinimg.com/originals/2b/1f/3a/2b1f3a2b3c4d5e6f7a8b9c0d1e2f3a4b.gif
22,Barbell Bench Press,"The bench press builds strength in the chest, triceps, and shoulders.",Strength,Chest,Barbell,Intermediate,9.0,Average,https://i.pinimg.com/originals/5c/2a/1b/5c2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
23,Decline barbell bench press,"The decline bench press targets the lower pectoral muscles.",Strength,Chest,Barbell,Intermediate,8.9,Average,https://i.pinimg.com/originals/7e/3a/2b/7e3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
24,Incline Bench Press,"The incline bench press targets the upper chest.",Strength,Chest,Barbell,Intermediate,8.8,Average,https://i.pinimg.com/originals/9f/2a/1b/9f2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
25,Pushups,"The push-up builds upper-body strength in the chest, triceps, and shoulders.",Strength,Chest,Body Only,Intermediate,9.2,Average,https://i.pinimg.com/originals/1d/5f/3a/1d5f3a2b3c4d5e6f7a8b9c0d1e2f3a4b.gif
26,Machine Chest Fly,"The machine chest fly isolates the pectoral muscles.",Strength,Chest,Machine,Intermediate,8.5,Average,https://i.pinimg.com/originals/4b/3a/2c/4b3a2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
27,Leverage Chest Press,The leverage chest press targets the pectoral muscles.,Strength,Chest,Machine,Beginner,8.5,Average,https://i.pinimg.com/originals/6e/2a/1b/6e2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
28,Low-cable cross-over,"The low-cable cross-over targets the upper chest.",Strength,Chest,Cable,Intermediate,9.1,Average,https://i.pinimg.com/originals/8a/7b/2c/8a7b2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
29,Cable Crossover,"The cable crossover builds bigger pectoral muscles from multiple angles.",Strength,Chest,Cable,Intermediate,8.8,Average,https://i.pinimg.com/originals/2f/1a/3b/2f1a3b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
30,Dumbbell Bench Press,"The dumbbell bench press builds a bigger, stronger chest.",Strength,Chest,Dumbbell,Intermediate,9.2,Average,https://i.pinimg.com/originals/5a/2b/1c/5a2b1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
31,Dumbbell Flyes,"The dumbbell fly isolates the chest muscles.",Strength,Chest,Dumbbell,Intermediate,9.1,Average,https://i.pinimg.com/originals/7f/3a/2b/7f3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
32,Incline dumbbell bench press,"The incline dumbbell press targets the upper chest.",Strength,Chest,Dumbbell,Intermediate,9.1,Average,https://i.pinimg.com/originals/9a/1b/2c/9a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
33,Chest dip,"The chest dip builds the chest, triceps, and shoulders.",Strength,Chest,Other,Intermediate,9.0,Average,https://i.pinimg.com/originals/3b/2a/1c/3b2a1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
34,Palms-down wrist curl,"The palms-down wrist curl targets the forearms.",Strength,Forearms,Barbell,Intermediate,9.5,Average,https://i.pinimg.com/originals/6f/1a/2b/6f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
35,Palms-up wrist curl,"The palms-up wrist curl builds forearm strength.",Strength,Forearms,Barbell,Intermediate,9.4,Average,https://i.pinimg.com/originals/4d/2a/3b/4d2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c.gif
36,Dumbbell farmer's walk,"The farmer's walk builds grip strength and full-body stability.",Strongman,Forearms,Other,Intermediate,9.4,Average,https://i.pinimg.com/originals/8f/3a/2b/8f3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
37,Barbell glute bridge,"The barbell glute bridge targets the glutes and hamstrings.",Powerlifting,Glutes,Barbell,Intermediate,9.4,Average,https://i.pinimg.com/originals/2e/1a/3b/2e1a3b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
38,Barbell Hip Thrust,"The barbell hip thrust builds the glutes and posterior chain.",Powerlifting,Glutes,Barbell,Intermediate,9.1,Average,https://i.pinimg.com/originals/5b/2a/1c/5b2a1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
39,Glute bridge,"The glute bridge activates the glutes and lower back.",Strength,Glutes,Body Only,Intermediate,8.8,Average,https://i.pinimg.com/originals/7a/3b/2c/7a3b2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
40,Barbell Deadlift,"The deadlift develops overall strength in the posterior chain.",Strength,Hamstrings,Barbell,Intermediate,9.4,Average,https://i.pinimg.com/originals/1c/2a/3b/1c2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c.gif
41,Sumo deadlift,"The sumo deadlift targets the hamstrings, glutes, and adductors.",Powerlifting,Hamstrings,Barbell,Beginner,9.3,Average,https://i.pinimg.com/originals/9f/3a/2b/9f3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
42,Good Morning,"The good morning targets the glutes, hamstrings, and lower back.",Powerlifting,Hamstrings,Barbell,Intermediate,8.5,Average,https://i.pinimg.com/originals/4b/2a/1c/4b2a1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
43,Romanian Deadlift,"The Romanian deadlift builds the hamstrings and glutes.",Strength,Hamstrings,Barbell,Intermediate,8.1,Average,https://i.pinimg.com/originals/6e/1a/3b/6e1a3b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
44,Box jump,"The box jump develops lower-body power and explosiveness.",Plyometrics,Hamstrings,Other,Beginner,8.6,Average,https://i.pinimg.com/originals/8a/2b/3c/8a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d.gif
45,Lying Leg Curls,"The lying leg curl isolates the hamstrings.",Strength,Hamstrings,Machine,Beginner,8.9,Average,https://i.pinimg.com/originals/3c/2a/1b/3c2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
46,Glute Ham Raise,"The glute ham raise targets the glutes and hamstrings.",Powerlifting,Hamstrings,Machine,Intermediate,8.4,Average,https://i.pinimg.com/originals/5f/1a/2b/5f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
47,Seated Leg Curl,"The seated leg curl builds the hamstrings.",Strength,Hamstrings,Machine,Intermediate,7.9,Average,https://i.pinimg.com/originals/7b/3a/2c/7b3a2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
48,Natural Glute Ham Raise,The natural glute ham raise targets the glutes and hamstrings.,Strength,Hamstrings,Body Only,Beginner,9.1,Average,https://i.pinimg.com/originals/1d/2a/3b/1d2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c.gif
49,Exercise ball leg curl,"The exercise ball leg curl targets the hamstrings.",Strength,Hamstrings,Exercise Ball,Intermediate,8.8,Average,https://i.pinimg.com/originals/9a/2b/1c/9a2b1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
50,Band-assisted pull-up,"The band-assisted pull-up helps build upper back and biceps strength.",Strength,Lats,Bands,Intermediate,7.6,Average,https://i.pinimg.com/originals/4f/3a/2b/4f3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
51,Weighted pull-up,"The weighted pull-up builds back and biceps strength.",Strength,Lats,Other,Intermediate,9.5,Average,https://i.pinimg.com/originals/2a/1b/3c/2a1b3c4d5e6f7a8b9c0d1e2f3a4b5c6d.gif
52,Close-grip pull-down,"The close-grip pull-down targets the lats.",Strength,Lats,Cable,Intermediate,8.9,Average,https://i.pinimg.com/originals/6b/2a/1c/6b2a1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
53,Shotgun row,"The shotgun row builds the lats and rhomboids.",Strength,Lats,Cable,Intermediate,8.9,Average,https://i.pinimg.com/originals/8e/3a/2b/8e3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
54,Lat pull-down,"The lat pull-down builds back width and strength.",Strength,Lats,Cable,Intermediate,8.6,Average,https://i.pinimg.com/originals/1a/2b/3c/1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d.gif
55,Pullups,"The pull-up builds strength in the upper back, biceps, and core.",Strength,Lats,Body Only,Intermediate,9.2,Average,https://i.pinimg.com/originals/3a/1b/2c/3a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
56,Pull-up,"The pull-up is a classic bodyweight back exercise.",Strength,Lats,Body Only,Beginner,8.9,Average,https://i.pinimg.com/originals/5c/2a/1b/5c2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
57,Rope climb,"The rope climb builds upper-body and grip strength.",Strength,Lats,Body Only,Intermediate,8.7,Average,https://i.pinimg.com/originals/7f/3a/2b/7f3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
58,Neutral-grip pull-up,"The neutral-grip pull-up is a shoulder-friendly back builder.",Strength,Lats,Body Only,Intermediate,8.2,Average,https://i.pinimg.com/originals/9d/1a/2b/9d1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
59,Chin-Up,"The chin-up builds the back and biceps.",Strength,Lats,Body Only,Intermediate,,https://i.pinimg.com/originals/2b/3a/1c/2b3a1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
60,Medicine ball slam,"The medicine ball slam develops power in the shoulders and lats.",Plyometrics,Lats,Medicine Ball,Intermediate,7.9,Average,https://i.pinimg.com/originals/4a/2b/1c/4a2b1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
61,Barbell deficit deadlift,"The deficit deadlift builds pulling strength off the floor.",Powerlifting,Lower Back,Barbell,Beginner,9.4,Average,https://i.pinimg.com/originals/6a/1b/2c/6a1b2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
62,Rack pull,"The rack pull strengthens the deadlift lockout.",Powerlifting,Lower Back,Barbell,Intermediate,8.3,Average,https://i.pinimg.com/originals/8b/2a/1c/8b2a1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
63,Atlas Stones,,Strongman,Lower Back,Other,Intermediate,9.5,Average,https://i.pinimg.com/originals/1f/3a/2b/1f3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
64,Back extension,"The back extension builds lower back and glute strength.",Strength,Lower Back,Body Only,Intermediate,9.1,Average,https://i.pinimg.com/originals/5a/2b/1c/5a2b1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
65,Superman,"The Superman targets the posterior chain.",Stretching,Lower Back,Body Only,Intermediate,8.3,Average,https://i.pinimg.com/originals/7c/2a/1b/7c2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
66,Reverse-grip bent-over row,"The reverse-grip row targets the lats and biceps.",Strength,Middle Back,Barbell,Intermediate,9.2,Average,https://i.pinimg.com/originals/9e/3a/2b/9e3a2b3c4d5e6f7a8b9c0d1e2f3a4b5c.gif
67,Bent Over Barbell Row,"The barbell row builds thickness in the back.",Strength,Middle Back,Barbell,Intermediate,8.7,Average,https://i.pinimg.com/originals/2f/1a/3b/2f1a3b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
68,Pendlay Row,"The Pendlay row builds back strength and power.",Strength,Middle Back,Barbell,Intermediate,8.2,Average,https://i.pinimg.com/originals/4d/2a/3b/4d2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c.gif
69,One-Arm Dumbbell Row,"The one-arm dumbbell row builds the lats.",Strength,Middle Back,Dumbbell,Intermediate,9.0,Average,https://i.pinimg.com/originals/6b/1a/2c/6b1a2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
70,T-Bar Row,,Strength,Middle Back,Other,Intermediate,9.5,Average,https://i.pinimg.com/originals/8a/2b/1c/8a2b1c2d3e4f5a6b7c8d9e0f1a2b3c4d.gif
71,Seated Cable Rows,"The seated cable row trains the upper back muscles.",Strength,Middle Back,Cable,Intermediate,8.8,Average,https://i.pinimg.com/originals/3b/1a/2c/3b1a2c3d4e5f6a7b8c9d0e1f2a3b4c5d.gif
72,Rower,"The rower is a cardio machine that targets the back and legs.",Cardio,Middle Back,Machine,Intermediate,8.9,Average,https://i.pinimg.com/originals/5f/2a/1b/5f2a1b2c3d4e5f6a7b8c9d0e1f2a3b4c.gif
